epoch,train_loss,val_loss,macro_auc,precision,recall,f1,is_best
1,0.1720,0.1681,0.7950,0.3934,0.0815,0.0928,True
2,0.1624,0.1658,0.8010,0.3860,0.0961,0.1153,True
3,0.1548,0.1666,0.8031,0.3679,0.1186,0.1489,True
4,0.1446,0.1690,0.7990,0.3944,0.1181,0.1498,False
5,0.1298,0.1829,0.7865,0.3472,0.1349,0.1698,False
6,0.1101,0.2029,0.7743,0.3238,0.1548,0.1850,False
7,0.0878,0.2249,0.7638,0.2850,0.1380,0.1693,False
8,0.0557,0.2753,0.7544,0.2803,0.1533,0.1887,False
9,0.0405,0.3107,0.7502,0.2798,0.1588,0.1943,False
10,0.0291,0.3581,0.7457,0.2759,0.1540,0.1866,False
